HTTPClient HTTPClient
org.apache.clerezza triaxrs.parent
org.apache.clerezza uima
org.apache.clerezza uima.casconsumer
org.apache.clerezza uima.concept-tagging
org.apache.clerezza uima.metadata-generator
org.apache.clerezza uima.ontologies
org.apache.clerezza uima.ontologies.ao
org.apache.clerezza uima.samples
org.apache.clerezza uima.utils
org.apache.cocoon cocoon-ajax
org.apache.cocoon cocoon-apples
org.apache.cocoon cocoon-blocks-fw
org.apache.cocoon cocoon-flowscript
org.apache.cocoon cocoon-forms
org.apache.commons commons-vfs2
org.apache.commons commons-vfs2-examples
org.apache.commons.transaction commons-transaction
org.apache.cxf cxf-bundle-compatible
org.apache.cxf cxf-rt-features-clustering
org.apache.cxf.dosgi cxf-dosgi-remote-service-admin-interfaces
org.apache.cxf.dosgi.systests cxf-dosgi-ri-systests-common-rest
org.apache.cxf.dosgi.systests cxf-dosgi-ri-systests-singlebundle-distro-rest
org.apache.cxf.fediz apache-fediz
org.apache.cxf.fediz.examples examples
org.apache.cxf.fediz.examples wsclientWebapp
org.apache.cxf.xjc-utils cxf-xjc-runtime
org.apache.deltaspike.modules modules-project
org.apache.derby apache
org.apache.directmemory platforms
org.apache.directory.client.ldap ldap-client
org.apache.dvsl dvsl
org.apache.felix servicediagnostics.parent
org.apache.flume flume-ng-clients
org.apache.flume flume-ng-sinks
org.apache.geronimo geronimo-transaction
org.apache.geronimo.daytrader.javaee6 assemblies
org.apache.geronimo.devtools eclipse
org.apache.geronimo.devtools eclipse-features-parent
org.apache.geronimo.devtools eclipse-plugins-parent
org.apache.geronimo.devtools maven-emf-plugin
org.apache.geronimo.devtools org.apache.geronimo.jee.v21.jaxbmodel
org.apache.geronimo.devtools org.apache.geronimo.runtime.common
org.apache.geronimo.devtools org.apache.geronimo.runtime.v20
org.apache.geronimo.devtools org.apache.geronimo.runtime.v21
org.apache.geronimo.devtools org.apache.geronimo.st.core
org.apache.geronimo.devtools org.apache.geronimo.st.schemas
org.apache.geronimo.devtools org.apache.geronimo.st.ui
org.apache.geronimo.devtools org.apache.geronimo.st.v20.core
org.apache.geronimo.devtools org.apache.geronimo.st.v20.ui
org.apache.geronimo.devtools org.apache.geronimo.st.v21.core
org.apache.geronimo.devtools org.apache.geronimo.st.v21.ui
org.apache.geronimo.devtools org.apache.geronimo.testsuite.common
org.apache.geronimo.devtools org.apache.geronimo.testsuite.v20
org.apache.geronimo.devtools org.apache.geronimo.testsuite.v21
org.apache.geronimo.devtools org.apache.geronimo.v21.feature
org.apache.geronimo.devtools testsuite-plugins
org.apache.geronimo.ext.openejb api
org.apache.geronimo.ext.openejb deps
org.apache.geronimo.gshell gshell-diet
org.apache.geronimo.samples.daytrader assemblies
org.apache.geronimo.schema geronimo-schema
org.apache.geronimo.specs geronimo-activation_1.0.2_spec
org.apache.geronimo.specs geronimo-corba_2.3_spec
org.apache.geronimo.specs geronimo-ejb_2.1_spec
org.apache.geronimo.specs geronimo-j2ee-connector_1.5_spec
org.apache.geronimo.specs geronimo-j2ee-deployment_1.1_spec
org.apache.geronimo.specs geronimo-j2ee-jacc_1.0_spec
org.apache.geronimo.specs geronimo-j2ee-management_1.0_spec
org.apache.geronimo.specs geronimo-j2ee_1.4_spec
org.apache.geronimo.specs geronimo-javamail_1.3.1_spec
org.apache.geronimo.specs geronimo-jaxr_1.0_spec
org.apache.geronimo.specs geronimo-jaxrpc_1.1_spec
org.apache.geronimo.specs geronimo-jms_1.1_spec
org.apache.geronimo.specs geronimo-jsp_2.0_spec
org.apache.geronimo.specs geronimo-jta_1.0.1B_spec
org.apache.geronimo.specs geronimo-qname_1.1_spec
org.apache.geronimo.specs geronimo-saaj_1.1_spec
org.apache.geronimo.specs geronimo-servlet_2.4_spec
org.apache.hadoop hadoop-common
org.apache.hadoop hadoop-common-instrumented
org.apache.hadoop hadoop-common-test
org.apache.hadoop hadoop-hdfs
org.apache.hadoop hadoop-hdfs-instrumented
org.apache.hadoop hadoop-hdfs-instrumented-test
org.apache.hadoop hadoop-hdfs-test
org.apache.hadoop hadoop-mapred
org.apache.hadoop hadoop-mapred-instrumented
org.apache.hadoop hadoop-mapred-test
org.apache.hadoop hadoop-mapred-test-instrumented
org.apache.hadoop hadoop-yarn-applications
org.apache.hivemind hivemind-annotations
org.apache.hivemind hivemind-examples
org.apache.hivemind hivemind-framework
org.apache.hivemind hivemind-jmx
org.apache.hivemind hivemind-lib
org.apache.hivemind hivemind-project
org.apache.hivemind hivemind-xml
org.apache.hivemind maven-skin
org.apache.ibatis ibatis-core
org.apache.ibatis ibator
org.apache.jakarta.httpcomponents httpcomponents
org.apache.james apache-crypto-mailets
org.apache.james apache-jspf
org.apache.james apache-mailet
org.apache.james apache-standard-mailets
org.apache.jdo jdo2-tck
org.apache.jena jena-fuseki
org.apache.jena jena-sdb
org.apache.juddi juddi-web
org.apache.juddi juddi-web-lean
org.apache.mahout mahout-buildtools
org.apache.mahout mahout-collections
org.apache.mahout mahout-core
org.apache.mahout mahout-eclipse-support
org.apache.mahout.commons commons-cli
org.apache.mahout.hbase hbase
org.apache.mahout.kosmosfs kfs
org.apache.mahout.uncommons.math uncommons-math
org.apache.mahout.watchmaker watchmaker-framework
org.apache.mahout.watchmaker watchmaker-swing
org.apache.maven maven-archiver
org.apache.maven maven-artifact
org.apache.maven maven-artifact-manager
org.apache.maven maven-artifact-test
org.apache.maven maven-core
org.apache.maven maven-core-it-support-old-location
org.apache.maven maven-model
org.apache.maven maven-model-v3
org.apache.maven maven-monitor
org.apache.maven maven-plugin-api
org.apache.maven maven-plugin-descriptor
org.apache.maven maven-plugin-parameter-documenter
org.apache.maven maven-plugin-registry
org.apache.maven maven-plugin-tools-api
org.apache.maven maven-plugin-tools-beanshell
org.apache.maven maven-plugin-tools-java
org.apache.maven maven-plugin-tools-pluggy
org.apache.maven maven-profile
org.apache.maven maven-project
org.apache.maven maven-repository-metadata
org.apache.maven maven-script-beanshell
org.apache.maven maven-settings
org.apache.maven.continuum.jpox jpox-enhancer
org.apache.maven.its maven-core-it-support-old-location
org.apache.maven.mercury mercury-artifact
org.apache.maven.mercury mercury-crypto-basic
org.apache.maven.mercury mercury-external
org.apache.maven.mercury mercury-md-sat
org.apache.maven.mercury mercury-md-shared
org.apache.maven.mercury mercury-repo-api
org.apache.maven.mercury mercury-repo-local-flat
org.apache.maven.mercury mercury-repo-local-m2
org.apache.maven.mercury mercury-repo-remote-m2
org.apache.maven.mercury mercury-repo-virtual
org.apache.maven.mercury mercury-transport-api
org.apache.maven.mercury mercury-transport-file
org.apache.maven.mercury mercury-transport-http
org.apache.maven.plugins maven-antrun-plugin
org.apache.maven.plugins maven-clean-plugin
org.apache.maven.plugins maven-ear-plugin
org.apache.maven.plugins maven-ejb-plugin
org.apache.maven.plugins maven-gpg-plugin
org.apache.maven.plugins maven-jar-plugin
org.apache.maven.plugins maven-rar-plugin
org.apache.maven.plugins maven-release-plugin
org.apache.maven.plugins maven-resources-plugin
org.apache.maven.plugins maven-scm-plugin
org.apache.maven.plugins maven-site-plugin
org.apache.maven.plugins maven-source-plugin
org.apache.maven.reporting maven-reporting-api
org.apache.maven.reporting maven-reporting-impl
org.apache.maven.scm maven-scm-api
org.apache.maven.scm maven-scm-client
org.apache.maven.scm maven-scm-manager-plexus
org.apache.maven.scm maven-scm-provider-clearcase
org.apache.maven.scm maven-scm-provider-cvs
org.apache.maven.scm maven-scm-provider-local
org.apache.maven.scm maven-scm-provider-perforce
org.apache.maven.scm maven-scm-provider-starteam
org.apache.maven.scm maven-scm-provider-svn
org.apache.maven.scm maven-scm-test
org.apache.maven.wagon wagon-file
org.apache.maven.wagon wagon-ftp
org.apache.maven.wagon wagon-http
org.apache.maven.wagon wagon-http-lightweight
org.apache.maven.wagon wagon-provider
org.apache.maven.wagon wagon-provider-api
org.apache.maven.wagon wagon-provider-test
org.apache.maven.wagon wagon-scm
org.apache.maven.wagon wagon-ssh
org.apache.maven.wagon wagon-ssh-external
org.apache.myfaces.extensions.validator myfaces-extval11
org.apache.myfaces.orchestra myfaces-orchestra-core15
org.apache.myfaces.portlet-bridge portlet-bridge-guessNumber-jsp-mojarraWrapper
org.apache.myfaces.portlet-bridge portlet-bridge-guessNumber-jsp-mojarra_v04_to_v07_Wrapper
org.apache.myfaces.tomahawk sandbox-project
org.apache.myfaces.tomahawk tomahawk-examples-assembly
org.apache.myfaces.tomahawk tomahawk-project
org.apache.myfaces.tomahawk tomahawk-sandbox
org.apache.myfaces.tomahawk tomahawk-sandbox-examples
org.apache.npanday.its npanday-its
org.apache.ode ode
org.apache.ode ode-distro
org.apache.ode ode-jbi-karaf
org.apache.ode ode-jbi-karaf-commands
org.apache.ode ode-jbi-karaf-pmapi-httpbinding
org.apache.ode.examples helloworld-bundle
org.apache.ode.examples ping-pong-bundle
org.apache.oodt pcs-core
org.apache.openejb org.apache.openejb.feature
org.apache.openejb org.apache.openejb.wtp.server
org.apache.openejb pde-test
org.apache.poi openxml4j
org.apache.portals.bridges jpetstore
org.apache.portals.bridges jsf-demo
org.apache.portals.bridges perl
org.apache.portals.bridges php
org.apache.portals.bridges portals-bridges-applications
org.apache.portals.bridges portals-bridges-script
org.apache.portals.bridges portals-bridges-script-dependencies
org.apache.portals.bridges portals-bridges-script-dependencies-beanshell
org.apache.portals.bridges portals-bridges-script-dependencies-groovy
org.apache.portals.bridges portals-bridges-script-dependencies-jruby
org.apache.portals.bridges portals-bridges-script-dependencies-jython
org.apache.portals.bridges portals-bridges-script-dependencies-rhino
org.apache.portals.bridges springmvc
org.apache.portals.jetspeed-2 com-google-step2-parent
org.apache.qpid qpid-amqp-1-0-client
org.apache.qpid qpid-amqp-1-0-client-jms
org.apache.qpid qpid-amqp-1-0-common
org.apache.qpid qpid-bdbstore
org.apache.servicemix.kernel org.apache.servicemix.kernel.demos
org.apache.servicemix.nmr.bundles bundles
org.apache.servicemix.war.bundles bundles
org.apache.shiro.tools shiro-tools
org.apache.struts.shale shale-test
org.apache.synapse synapse-xar-maven-plugin
org.apache.tapestry maven-skin
org.apache.tapestry tapestry-simple
org.apache.tapestry tapestry-webflow
org.apache.texen texen
org.apache.velocity velocity
org.apache.velocity.tools velocity-tools
org.apache.vysper.examples vysper-examples
org.apache.wink.example Osgi
org.apache.ws.commons.neethi neethi
org.apache.ws.commons.util ws-commons-util
org.apache.xmlgraphics batik-anim
org.apache.xmlgraphics batik-awt-util
org.apache.xmlgraphics batik-bridge
org.apache.xmlgraphics batik-codec
org.apache.xmlgraphics batik-css
org.apache.xmlgraphics batik-dom
org.apache.xmlgraphics batik-ext
org.apache.xmlgraphics batik-extension
org.apache.xmlgraphics batik-gui-util
org.apache.xmlgraphics batik-gvt
org.apache.xmlgraphics batik-js
org.apache.xmlgraphics batik-parser
org.apache.xmlgraphics batik-rasterizer
org.apache.xmlgraphics batik-rasterizer-ext
org.apache.xmlgraphics batik-script
org.apache.xmlgraphics batik-slideshow
org.apache.xmlgraphics batik-squiggle
org.apache.xmlgraphics batik-squiggle-ext
org.apache.xmlgraphics batik-svg-dom
org.apache.xmlgraphics batik-svggen
org.apache.xmlgraphics batik-svgpp
org.apache.xmlgraphics batik-swing
org.apache.xmlgraphics batik-transcoder
org.apache.xmlgraphics batik-ttf2svg
org.apache.xmlgraphics batik-util
org.apache.xmlgraphics batik-xml
org.apache.zookeeper zookeeper-test
org.apithefire apithefire-persistence
org.apithefire apithefire-persistence-openjpa
org.apithefire apithefire-server
org.apithefire apithefire-server-jetty
org.apithefire apithefire-servlet-examples
org.apithefire apithefire-sql
org.apithefire apithefire-sql-c3p0
org.apithefire apithefire-sql-h2
org.apithefire apithefire-web
org.apithefire apithefire-web-wicket
org.appfuse tapestry-mock
org.appfuse.archetypes appfuse-ws-archetype
org.arm4 arm4-api
org.asmatron messengine
org.atemsource atem-api
org.atmosphere.org.timepedia.exporter gwtexporter
org.avaje avaje-javaparent
org.avaje avaje-parent
org.axonframework.samples axon-samples
org.axsl.org.w3c.dom.mathml mathml-dom-java
org.axsl.org.w3c.dom.smil smil-boston-dom-java
org.axsl.org.w3c.dom.svg svg-dom-java
org.baessie baessie
org.baessie common
org.baessie simulator
org.baessie testtools
org.baessie wsconnector
org.beangle beangle-parent
org.biojava biojava3-core
org.bitbucket.joxley getdown-maven-plugin
org.blinkenlights.jid3 JID3
org.blueoxygen.cimande cimande
org.blueoxygen.cimande cimande-archetype
org.bluestemsoftware.license.header gpl-2.0
org.bouncycastle bcmail-jdk15+
org.bouncycastle bcpg-jdk12
org.bouncycastle bcpg-jdk15+
org.bouncycastle bcpkix-jdk14
org.bouncycastle bcpkix-jdk15on
org.bouncycastle bcprov-jdk12
org.bouncycastle bcprov-jdk15+
org.bouncycastle bctsp-jdk15+
org.bouncycastle bctsp-jdk15on
org.broadleafcommerce broadleaf-maven-archetypes
org.broadleafcommerce payment
org.browsermob browsermob-vnc
org.bsc.bean beanmanager-core
org.bsc.maven maven-mvnver-plugin
org.bsc.processor resource-processor
org.carlspring.maven relocation-maven-plugin
org.carlspring.maven system-properties-maven-plugin
org.chenillekit chenillekit-hivemind
org.chromattic chromattic.query
org.cip4.lib.xjdf xJdfLib
org.clapper argot_2.8.1.RC2
org.clapper argot_2.9.2
org.clapper avsl_2.8.1.RC2
org.clapper avsl_2.9.2
org.clapper classutil_2.8.1.RC1
org.clapper classutil_2.9.2
org.clapper grizzled-scala_2.8.1.RC1
org.clapper grizzled-scala_2.8.1.RC2
org.clapper grizzled-scala_2.9.2
org.clapper grizzled-slf4j_2.8.1.RC1
org.clapper grizzled-slf4j_2.9.2
org.clapper markwrap_2.9.2
org.clapper scalasti_2.8.1.RC1
org.clapper scalasti_2.9.1-1
org.clojure algo.generic
org.clojure algo.monads
org.clojure clojure-contrib
org.clojure core.cache
org.clojure core.incubator
org.clojure data.codec
org.clojure data.finger-tree
org.clojure data.priority-map
org.clojure data.xml
org.clojure java.data
org.clojure math.numeric-tower
org.codeartisans.asadmin-maven-plugin multi-example
org.codeartisans.qipki.clients qipki-clients-parent
org.codeartisans.qipki.qipki-tools qipki-tools-parent
org.codeartisans.shiro shiro-ext
org.codehaus yagll
org.codehaus.aspectwerkz aspectwerkz-jdk5
org.codehaus.aspectwerkz aspectwerkz-nodeps-jdk5
org.codehaus.cake cake-codegen-compiler
org.codehaus.cake.core cake-core
org.codehaus.cake.test cake-test-parent
org.codehaus.castor adaptx
org.codehaus.castor castor-archetype-codegen-testcase
org.codehaus.castor castor-archetype-cpa-testcase
org.codehaus.castor castor-cpactf
org.codehaus.castor jdo-extensions-it
org.codehaus.castor spring-xml
org.codehaus.cjcook pdf-plugin
org.codehaus.cjcook scribd-plugin
org.codehaus.enunciate enunciate-build-support
org.codehaus.fabric3.fabric3-db-exist sunxacml
org.codehaus.fabric3.fabric3-db-exist xmldb
org.codehaus.gant gant_groovy1.9
org.codehaus.gant gant_groovy2.0
org.codehaus.geb geb
org.codehaus.geb geb-implicit-assertions
org.codehaus.generama generama
org.codehaus.griffon griffon-gradle-plugin
org.codehaus.griffon griffon-launcher
org.codehaus.griffon griffon-launcher-ant
org.codehaus.griffon jsilhouette-geom
org.codehaus.groovy.modules groosh
org.codehaus.groovy.modules groovytransforms
org.codehaus.groovy.modules.groosh groovy-groosh
org.codehaus.hydra-cache parent-pom
org.codehaus.izpack izpack-native-parent
org.codehaus.javancss javancss
org.codehaus.jcsp jcsp
org.codehaus.jsr166-mirror extra166y
org.codehaus.jsr166-mirror jsr166
org.codehaus.jsr166-mirror jsr166tck
org.codehaus.jsr166-mirror jsr166x
org.codehaus.jsr166-mirror jsr166y
org.codehaus.modello modello-xdoc-plugin
org.codehaus.modello modello-xml-plugin
org.codehaus.modello modello-xpp3-plugin
org.codehaus.mojo changelog-maven-plugin
org.codehaus.mojo changes-maven-plugin
org.codehaus.mojo jxr-maven-plugin
org.codehaus.mojo mojo-sandbox-parent
org.codehaus.mojo surefire-report-maven-plugin
org.codehaus.mojo taglist-maven-plugin
org.codehaus.mojo xmlbeans-maven-plugin
org.codehaus.mojo.groovy legacy-support
org.codehaus.openxma javaxdelta
org.codehaus.openxma p2-parent
org.codehaus.plexus plexus-archiver
org.codehaus.plexus plexus-avalon-personality
org.codehaus.plexus plexus-bsh-factory
org.codehaus.plexus plexus-compiler-api
org.codehaus.plexus plexus-compiler-csharp
org.codehaus.plexus plexus-compiler-eclipse
org.codehaus.plexus plexus-compiler-javac
org.codehaus.plexus plexus-compiler-manager
org.codehaus.plexus plexus-compiler-test
org.codehaus.plexus plexus-container-default
org.codehaus.plexus plexus-ftpd
org.codehaus.plexus plexus-input-handler
org.codehaus.plexus plexus-input-handler-api
org.codehaus.plexus plexus-input-handler-jline
org.codehaus.plexus plexus-interactivity-api
org.codehaus.plexus plexus-interactivity-jline
org.codehaus.plexus plexus-lang
org.codehaus.plexus plexus-maven-plugin
org.codehaus.plexus plexus-utils
org.codehaus.plexus plexus-velocity
org.codehaus.plexus.examples plexus-examples
org.codehaus.sonar gwt-incubator
org.codehaus.staxmate stax2
org.codehaus.stomp stompconnect
org.codehaus.swizzle swizzle-jiramacro
org.codehaus.xdoclet xdoclet
org.codehaus.xfire bcprov-jdk15
org.codehaus.xfire xmlsec
org.codehaus.xfire.plugins maven-bundle-plugin
org.codeswarm lipsum
org.cojen cojen
org.cometd.dojox cometd-dojox-project
org.cometd.jquery cometd-jquery-project
org.cometd.tests cometd-tests-project
org.commonjava.emb emb-apps
org.commonjava.emb.infra emb-infrastructure
org.concordion maven-concordion-plugin
org.contract4j5 contract4j5
org.coosproject.build-tools.org.apache.felix maven-bundle-plugin
org.criteria4jpa criteria4jpa
org.crsh crsh
org.cyberneko.pull nekopull
org.cyclopsgroup jmxterm
org.danvk dygraphs-gwt
org.dasein dasein-cloud-flexiscale
org.dasein dasein-cloud-metacdn
org.dasein dasein-cloud-mezeo
org.databene dbsanity4benerator
org.databene feed4testng
org.databene mongo4ben
org.datanucleus datanucleus-accessplatform-jdo-json
org.dbmaintain dbmaintain
org.deephacks.tools4j config-bean-provider-root
org.dmilne weka-wrapper
org.dnsjava dnsjava
org.dspace cql-java
org.dspace dspace-impl
org.dspace dspace-replicate
org.dspace dspace-utils
org.dspace mets
org.dspace oaicat
org.dspace oclc-harvester2
org.dspace xmlui
org.dspace xmlui-modules
org.dspace.dependencies dspace-geoip
org.dspace.dependencies dspace-perst
org.dspace.discovery discovery-demo-webapp
org.dspace.discovery discovery-modules
org.dspace.discovery discovery-solr-provider
org.dspace.discovery discovery-solr-webapp
org.dspace.discovery discovery-xmlui-block
org.dspace.discovery discovery-xmlui-webapp
org.dspace.dnsjava dnsjava
org.dspace.maven.plugins dspace-i18n-report-plugin
org.dspace.maven.plugins dspace-native2ascii-plugin
org.dspace.modules.imscp dspace-imscp
org.dspace.oclc oclc-dbutils
org.dspace.oclc oclc-srw
org.dspace.oclc oclc-srw-parallel-searching
org.dspace.xmlui.cocoon cocoon
org.dspace.xmlui.cocoon cocoon-deprecated
org.dspace.xmlui.concurrent concurrent
org.dspace.xmlui.eclipse jdtcore
org.dspace.xmlui.ehcache ehcache
org.dspace.xmlui.excalibur excalibur-component
org.dspace.xmlui.excalibur excalibur-i18n
org.dspace.xmlui.excalibur excalibur-instrument-api
org.dspace.xmlui.excalibur excalibur-instrument-mgr-api
org.dspace.xmlui.excalibur excalibur-instrument-mgr-http
org.dspace.xmlui.excalibur excalibur-instrument-mgr-impl
org.dspace.xmlui.excalibur excalibur-logger
org.dspace.xmlui.excalibur excalibur-naming
org.dspace.xmlui.excalibur excalibur-pool-api
org.dspace.xmlui.excalibur excalibur-pool-impl
org.dspace.xmlui.excalibur excalibur-pool-instrumented
org.dspace.xmlui.excalibur excalibur-sourceresolve
org.dspace.xmlui.excalibur excalibur-store
org.dspace.xmlui.excalibur excalibur-xmlutil
org.dspace.xmlui.jakarta jakarta-bcel
org.dspace.xmlui.jakarta jakarta-regexp
org.dspace.xmlui.javac javacApi
org.dspace.xmlui.javac javacImpl
org.dspace.xmlui.jcs jcs
org.dspace.xmlui.rhino rhino-continuations
org.dspace.xmlui.xml xml-apis
org.dspace.xmlui.xml xml-commons-resolver
org.dynalang dynalink
org.easyb maven-easyb-plugin
org.easystub easystub
org.easytesting fest-assembly
org.easytesting fest-site-skin
org.eclipse bittorrent
org.eclipse cvs
org.eclipse draw2d
org.eclipse ecf
org.eclipse emf
org.eclipse gef
org.eclipse gmf
org.eclipse jem
org.eclipse jet
org.eclipse jst
org.eclipse mylar
org.eclipse mylyn
org.eclipse ocl
org.eclipse uml2
org.eclipse uml2tools
org.eclipse wst
org.eclipse xsd
org.eclipse.core boot
org.eclipse.core databinding
org.eclipse.core net
org.eclipse.core.databinding beans
org.eclipse.core.filesystem macosx
org.eclipse.core.filesystem.linux ppc
org.eclipse.core.filesystem.linux x86
org.eclipse.core.filesystem.linux x86_64
org.eclipse.core.filesystem.solaris sparc
org.eclipse.core.resources jmx
org.eclipse.cvs source
org.eclipse.ecf datashare
org.eclipse.ecf discovery
org.eclipse.ecf doc
org.eclipse.ecf filetransfer
org.eclipse.ecf identity
org.eclipse.ecf presence
org.eclipse.ecf provider
org.eclipse.ecf remoteservice
org.eclipse.ecf server
org.eclipse.ecf sharedobject
org.eclipse.ecf ui
org.eclipse.ecf.core source
org.eclipse.ecf.discovery ui
org.eclipse.ecf.example clients
org.eclipse.ecf.example collab
org.eclipse.ecf.example.collab editor
org.eclipse.ecf.examples source
org.eclipse.ecf.filetransfer ui
org.eclipse.ecf.presence bot
org.eclipse.ecf.presence ui
org.eclipse.ecf.presence.collab ui
org.eclipse.ecf.protocol msn
org.eclipse.ecf.provider bittorrent
org.eclipse.ecf.provider datashare
org.eclipse.ecf.provider filetransfer
org.eclipse.ecf.provider irc
org.eclipse.ecf.provider jmdns
org.eclipse.ecf.provider msn
org.eclipse.ecf.provider remoteservice
org.eclipse.ecf.provider ui
org.eclipse.ecf.provider xmpp
org.eclipse.ecf.provider.bittorrent ui
org.eclipse.ecf.provider.filetransfer httpclient
org.eclipse.ecf.provider.irc ui
org.eclipse.ecf.provider.msn ui
org.eclipse.ecf.provider.xmpp ui
org.eclipse.ecf.server generic
org.eclipse.ecf.telephony call
org.eclipse.ecf.telephony.call ui
org.eclipse.emf cheatsheets
org.eclipse.emf codegen-ecore-ui
org.eclipse.emf codegen-ui
org.eclipse.emf common-ui
org.eclipse.emf commonj-sdo
org.eclipse.emf converter
org.eclipse.emf doc
org.eclipse.emf ecore-change-edit
org.eclipse.emf ecore-edit
org.eclipse.emf ecore-editor
org.eclipse.emf ecore-sdo
org.eclipse.emf ecore-sdo-edit
org.eclipse.emf ecore-sdo-editor
org.eclipse.emf edit-ui
org.eclipse.emf exporter
org.eclipse.emf importer-ecore
org.eclipse.emf importer-java
org.eclipse.emf importer-rose
org.eclipse.emf mapping-ecore2ecore
org.eclipse.emf mapping-ecore2ecore-editor
org.eclipse.emf mapping-ecore2xml
org.eclipse.emf mapping-ecore2xml-ui
org.eclipse.emf mapping-ui
org.eclipse.emf ocl
org.eclipse.emf query
org.eclipse.emf source
org.eclipse.emf transaction
org.eclipse.emf validation
org.eclipse.emf workspace
org.eclipse.emf.codegen ecore
org.eclipse.emf.codegen ui
org.eclipse.emf.codegen.ecore ui
org.eclipse.emf.common ui
org.eclipse.emf.commonj sdo
org.eclipse.emf.ecore change
org.eclipse.emf.ecore edit
org.eclipse.emf.ecore editor
org.eclipse.emf.ecore sdo
org.eclipse.emf.ecore xmi
org.eclipse.emf.ecore.change edit
org.eclipse.emf.ecore.sdo doc
org.eclipse.emf.ecore.sdo edit
org.eclipse.emf.ecore.sdo editor
org.eclipse.emf.ecore.sdo source
org.eclipse.emf.edit ui
org.eclipse.emf.importer ecore
org.eclipse.emf.importer java
org.eclipse.emf.importer rose
org.eclipse.emf.mapping ecore
org.eclipse.emf.mapping ecore2ecore
org.eclipse.emf.mapping ecore2xml
org.eclipse.emf.mapping ui
org.eclipse.emf.mapping xsd2ecore
org.eclipse.emf.mapping.ecore editor
org.eclipse.emf.mapping.ecore2ecore editor
org.eclipse.emf.mapping.ecore2xml ui
org.eclipse.emf.mapping.xsd2ecore editor
org.eclipse.emf.ocl doc
org.eclipse.emf.ocl examples
org.eclipse.emf.ocl source
org.eclipse.emf.query doc
org.eclipse.emf.query examples
org.eclipse.emf.query ocl
org.eclipse.emf.query source
org.eclipse.emf.query.ocl source
org.eclipse.emf.transaction doc
org.eclipse.emf.transaction examples
org.eclipse.emf.transaction source
org.eclipse.emf.transaction ui
org.eclipse.emf.validation doc
org.eclipse.emf.validation examples
org.eclipse.emf.validation ocl
org.eclipse.emf.validation source
org.eclipse.emf.validation ui
org.eclipse.emf.validation.ocl source
org.eclipse.emf.validation.ui ide
org.eclipse.emf.workspace doc
org.eclipse.emf.workspace source
org.eclipse.emf.workspace ui
org.eclipse.equinox app
org.eclipse.equinox cm
org.eclipse.equinox device
org.eclipse.equinox event
org.eclipse.equinox http
org.eclipse.equinox launcher
org.eclipse.equinox log
org.eclipse.equinox metatype
org.eclipse.equinox osgi
org.eclipse.equinox servletbridge
org.eclipse.equinox source
org.eclipse.equinox useradmin
org.eclipse.equinox.http jetty
org.eclipse.equinox.http registry
org.eclipse.equinox.http servlet
org.eclipse.equinox.http servletbridge
org.eclipse.equinox.jmx client
org.eclipse.equinox.jmx common
org.eclipse.equinox.jmx server
org.eclipse.equinox.jmx vm
org.eclipse.equinox.jmx.client rmi
org.eclipse.equinox.jmx.client xmlrpc
org.eclipse.equinox.jmx.server rmi
org.eclipse.equinox.jmx.server xmlrpc
org.eclipse.equinox.jsp jasper
org.eclipse.equinox.jsp.jasper registry
org.eclipse.equinox.launcher.carbon macosx
org.eclipse.equinox.launcher.gtk.linux ppc
org.eclipse.equinox.launcher.gtk.linux x86
org.eclipse.equinox.launcher.gtk.linux x86_64
org.eclipse.equinox.launcher.gtk.solaris sparc
org.eclipse.equinox.launcher.motif.aix ppc
org.eclipse.equinox.launcher.win32.win32 x86
org.eclipse.equinox.launcher.wpf.win32 x86
org.eclipse.equinox.preferences jmx
org.eclipse.equinox.registry jmx
org.eclipse.gmf bridge
org.eclipse.gmf codegen
org.eclipse.gmf common
org.eclipse.gmf graphdef
org.eclipse.gmf map
org.eclipse.gmf sdk
org.eclipse.gmf tooldef
org.eclipse.gmf validate
org.eclipse.gmf xpand
org.eclipse.gmf.bridge ui
org.eclipse.gmf.bridge.ui dashboard
org.eclipse.gmf.codegen edit
org.eclipse.gmf.codegen ui
org.eclipse.gmf.doc ui
org.eclipse.gmf.ecore editor
org.eclipse.gmf.graphdef codegen
org.eclipse.gmf.graphdef edit
org.eclipse.gmf.graphdef.codegen ui
org.eclipse.gmf.map edit
org.eclipse.gmf.runtime notation
org.eclipse.gmf.runtime.common core
org.eclipse.gmf.runtime.common ui
org.eclipse.gmf.runtime.common.ui action
org.eclipse.gmf.runtime.common.ui printing
org.eclipse.gmf.runtime.common.ui services
org.eclipse.gmf.runtime.common.ui.action ide
org.eclipse.gmf.runtime.common.ui.printing win32
org.eclipse.gmf.runtime.common.ui.services action
org.eclipse.gmf.runtime.common.ui.services dnd
org.eclipse.gmf.runtime.common.ui.services properties
org.eclipse.gmf.runtime.common.ui.services.dnd ide
org.eclipse.gmf.runtime.diagram core
org.eclipse.gmf.runtime.diagram ui
org.eclipse.gmf.runtime.diagram.ui actions
org.eclipse.gmf.runtime.diagram.ui dnd
org.eclipse.gmf.runtime.diagram.ui geoshapes
org.eclipse.gmf.runtime.diagram.ui printing
org.eclipse.gmf.runtime.diagram.ui properties
org.eclipse.gmf.runtime.diagram.ui providers
org.eclipse.gmf.runtime.diagram.ui render
org.eclipse.gmf.runtime.diagram.ui.printing render
